No.;Type;Name;Date/Time;Note;400,00;402,00;404,00;406,00;408,00;410,00;412,00;414,00;416,00;418,00;420,00;422,00;424,00;426,00;428,00;430,00;432,00;434,00;436,00;438,00;440,00;442,00;444,00;446,00;448,00;450,00;452,00;454,00;456,00;458,00;460,00;462,00;464,00;466,00;468,00;470,00;472,00;474,00;476,00;478,00;480,00;482,00;484,00;486,00;488,00;490,00;492,00;494,00;496,00;498,00;500,00;502,00;504,00;506,00;508,00;510,00;512,00;514,00;516,00;518,00;520,00;522,00;524,00;526,00;528,00;530,00;532,00;534,00;536,00;538,00;540,00;542,00;544,00;546,00;548,00;550,00;552,00;554,00;556,00;558,00;560,00;562,00;564,00;566,00;568,00;570,00;572,00;574,00;576,00;578,00;580,00;582,00;584,00;586,00;588,00;590,00;592,00;594,00;596,00;598,00;600,00;602,00;604,00;606,00;608,00;610,00;612,00;614,00;616,00;618,00;620,00;622,00;624,00;626,00;628,00;630,00;632,00;634,00;636,00;638,00;640,00;642,00;644,00;646,00;648,00;650,00;652,00;654,00;656,00;658,00;660,00;662,00;664,00;666,00;668,00;670,00;672,00;674,00;676,00;678,00;680,00;682,00;684,00;686,00;688,00;690,00;692,00;694,00;696,00;698,00;700,00;702,00;704,00;706,00;708,00;710,00;712,00;714,00;716,00;718,00;720,00;722,00;724,00;726,00;728,00;730,00;732,00;734,00;736,00;738,00;740,00;742,00;744,00;746,00;748,00;750,00;
1;Sample;WT;2024.03.01 18:17;;0,2554;0,2556;0,2561;0,2569;0,2581;0,2596;0,2611;0,2625;0,2636;0,2648;0,2655;0,2661;0,2667;0,2673;0,2681;0,2692;0,2707;0,2723;0,2740;0,2753;0,2762;0,2760;0,2747;0,2725;0,2697;0,2663;0,2631;0,2602;0,2579;0,2561;0,2547;0,2536;0,2526;0,2515;0,2504;0,2495;0,2483;0,2473;0,2464;0,2457;0,2450;0,2446;0,2441;0,2438;0,2435;0,2431;0,2427;0,2420;0,2413;0,2405;0,2395;0,2384;0,2371;0,2357;0,2343;0,2328;0,2315;0,2301;0,2287;0,2273;0,2260;0,2246;0,2232;0,2219;0,2205;0,2192;0,2178;0,2164;0,2151;0,2138;0,2126;0,2115;0,2105;0,2096;0,2088;0,2081;0,2075;0,2070;0,2067;0,2064;0,2062;0,2061;0,2061;0,2061;0,2062;0,2063;0,2065;0,2067;0,2070;0,2073;0,2076;0,2079;0,2082;0,2085;0,2089;0,2093;0,2097;0,2102;0,2107;0,2112;0,2118;0,2125;0,2134;0,2144;0,2155;0,2167;0,2181;0,2195;0,2209;0,2222;0,2234;0,2244;0,2250;0,2254;0,2254;0,2253;0,2249;0,2241;0,2231;0,2217;0,2202;0,2186;0,2170;0,2155;0,2141;0,2128;0,2118;0,2110;0,2104;0,2102;0,2103;0,2110;0,2122;0,2140;0,2162;0,2184;0,2204;0,2224;0,2242;0,2261;0,2276;0,2281;0,2271;0,2247;0,2209;0,2164;0,2118;0,2077;0,2042;0,2013;0,1992;0,1969;0,1950;0,1934;0,1919;0,1906;0,1895;0,1884;0,1874;0,1865;0,1857;0,1849;0,1842;0,1835;0,1829;0,1823;0,1818;0,1812;0,1807;0,1802;0,1798;0,1794;0,1789;0,1785;0,1781;0,1776;
2;Sample;DualTag;2024.03.01 18:18;;0,2424;0,2424;0,2427;0,2434;0,2442;0,2453;0,2464;0,2475;0,2485;0,2492;0,2498;0,2501;0,2504;0,2507;0,2511;0,2518;0,2527;0,2539;0,2551;0,2560;0,2565;0,2563;0,2552;0,2534;0,2511;0,2485;0,2459;0,2436;0,2418;0,2406;0,2394;0,2385;0,2375;0,2367;0,2359;0,2350;0,2340;0,2332;0,2326;0,2320;0,2315;0,2312;0,2308;0,2306;0,2304;0,2301;0,2299;0,2294;0,2289;0,2283;0,2275;0,2268;0,2258;0,2247;0,2236;0,2224;0,2212;0,2200;0,2189;0,2179;0,2168;0,2157;0,2146;0,2135;0,2124;0,2113;0,2102;0,2090;0,2078;0,2066;0,2055;0,2045;0,2035;0,2027;0,2018;0,2011;0,2005;0,2000;0,1997;0,1994;0,1992;0,1990;0,1989;0,1988;0,1988;0,1988;0,1988;0,1989;0,1992;0,1994;0,1997;0,1999;0,2001;0,2004;0,2006;0,2008;0,2012;0,2015;0,2019;0,2022;0,2025;0,2029;0,2034;0,2041;0,2049;0,2059;0,2070;0,2081;0,2091;0,2101;0,2109;0,2115;0,2118;0,2119;0,2119;0,2118;0,2116;0,2111;0,2103;0,2093;0,2082;0,2070;0,2059;0,2048;0,2038;0,2029;0,2022;0,2017;0,2015;0,2015;0,2017;0,2024;0,2035;0,2052;0,2071;0,2090;0,2107;0,2122;0,2137;0,2152;0,2164;0,2167;0,2159;0,2138;0,2107;0,2069;0,2031;0,1996;0,1964;0,1938;0,1917;0,1897;0,1881;0,1866;0,1854;0,1844;0,1835;0,1827;0,1818;0,1810;0,1803;0,1796;0,1791;0,1785;0,1779;0,1775;0,1770;0,1765;0,1761;0,1757;0,1754;0,1750;0,1747;0,1743;0,1739;0,1735;
3;Sample;delta-rbp1 #2;2024.03.01 18:19;;0,3158;0,3163;0,3169;0,3177;0,3187;0,3198;0,3210;0,3219;0,3226;0,3232;0,3237;0,3240;0,3243;0,3246;0,3250;0,3254;0,3262;0,3271;0,3278;0,3284;0,3287;0,3284;0,3274;0,3259;0,3239;0,3217;0,3194;0,3173;0,3157;0,3143;0,3132;0,3123;0,3115;0,3107;0,3100;0,3086;0,3080;0,3076;0,3072;0,3070;0,3069;0,3069;0,3069;0,3069;0,3068;0,3066;0,3062;0,3058;0,3054;0,3049;0,3042;0,3036;0,3028;0,3018;0,3008;0,2997;0,2986;0,2976;0,2966;0,2956;0,2945;0,2934;0,2923;0,2911;0,2899;0,2886;0,2875;0,2864;0,2854;0,2845;0,2837;0,2829;0,2823;0,2816;0,2809;0,2804;0,2801;0,2799;0,2798;0,2798;0,2798;0,2798;0,2800;0,2801;0,2803;0,2805;0,2808;0,2813;0,2819;0,2826;0,2831;0,2836;0,2840;0,2844;0,2849;0,2853;0,2857;0,2861;0,2866;0,2871;0,2878;0,2886;0,2894;0,2905;0,2917;0,2928;0,2940;0,2952;0,2964;0,2975;0,2984;0,2991;0,2995;0,2996;0,2994;0,2991;0,2986;0,2979;0,2969;0,2957;0,2944;0,2932;0,2920;0,2908;0,2897;0,2887;0,2878;0,2872;0,2870;0,2871;0,2875;0,2883;0,2896;0,2913;0,2930;0,2947;0,2962;0,2977;0,2989;0,3002;0,3011;0,3012;0,3004;0,2984;0,2952;0,2914;0,2873;0,2834;0,2800;0,2772;0,2761;0,2739;0,2722;0,2707;0,2693;0,2681;0,2671;0,2662;0,2654;0,2646;0,2638;0,2632;0,2626;0,2621;0,2617;0,2613;0,2609;0,2607;0,2605;0,2602;0,2597;0,2591;0,2585;0,2579;0,2573;0,2568;
4;Sample;delta-rbp1 #4;2024.03.01 18:20;;0,3650;0,3647;0,3648;0,3652;0,3657;0,3664;0,3672;0,3679;0,3682;0,3685;0,3688;0,3687;0,3688;0,3689;0,3692;0,3697;0,3703;0,3711;0,3718;0,3721;0,3720;0,3716;0,3703;0,3685;0,3662;0,3638;0,3614;0,3593;0,3577;0,3564;0,3554;0,3546;0,3538;0,3531;0,3523;0,3514;0,3505;0,3498;0,3493;0,3489;0,3485;0,3483;0,3480;0,3479;0,3476;0,3473;0,3468;0,3463;0,3456;0,3449;0,3439;0,3428;0,3415;0,3404;0,3395;0,3386;0,3375;0,3364;0,3352;0,3341;0,3330;0,3320;0,3310;0,3301;0,3290;0,3279;0,3266;0,3254;0,3241;0,3228;0,3217;0,3207;0,3198;0,3190;0,3184;0,3179;0,3176;0,3175;0,3175;0,3176;0,3177;0,3180;0,3183;0,3187;0,3192;0,3196;0,3201;0,3206;0,3212;0,3217;0,3223;0,3228;0,3234;0,3240;0,3246;0,3251;0,3258;0,3264;0,3271;0,3278;0,3285;0,3293;0,3302;0,3313;0,3324;0,3335;0,3347;0,3358;0,3369;0,3378;0,3385;0,3390;0,3393;0,3393;0,3390;0,3386;0,3378;0,3368;0,3356;0,3341;0,3325;0,3309;0,3292;0,3277;0,3264;0,3253;0,3244;0,3237;0,3234;0,3234;0,3239;0,3249;0,3264;0,3283;0,3303;0,3321;0,3336;0,3347;0,3356;0,3364;0,3367;0,3361;0,3345;0,3315;0,3274;0,3226;0,3178;0,3134;0,3097;0,3065;0,3040;0,3016;0,2996;0,2979;0,2964;0,2950;0,2939;0,2927;0,2917;0,2908;0,2900;0,2892;0,2885;0,2879;0,2873;0,2867;0,2862;0,2857;0,2852;0,2848;0,2844;0,2840;0,2836;0,2832;0,2828;0,2824;
5;Sample;delta-rbp1 #6;2024.03.01 18:20;;0,2020;0,2017;0,2017;0,2018;0,2022;0,2028;0,2035;0,2041;0,2045;0,2048;0,2050;0,2051;0,2052;0,2050;0,2051;0,2053;0,2057;0,2063;0,2070;0,2076;0,2080;0,2078;0,2073;0,2059;0,2041;0,2022;0,2004;0,1987;0,1973;0,1961;0,1951;0,1942;0,1934;0,1927;0,1919;0,1894;0,1886;0,1880;0,1874;0,1869;0,1863;0,1859;0,1855;0,1852;0,1849;0,1845;0,1840;0,1835;0,1829;0,1823;0,1817;0,1810;0,1802;0,1794;0,1787;0,1779;0,1770;0,1761;0,1751;0,1742;0,1733;0,1724;0,1716;0,1707;0,1699;0,1690;0,1680;0,1671;0,1662;0,1652;0,1643;0,1636;0,1630;0,1624;0,1619;0,1614;0,1609;0,1605;0,1602;0,1600;0,1597;0,1595;0,1594;0,1594;0,1595;0,1596;0,1598;0,1599;0,1600;0,1602;0,1603;0,1605;0,1607;0,1610;0,1612;0,1615;0,1618;0,1620;0,1623;0,1626;0,1628;0,1631;0,1635;0,1640;0,1646;0,1651;0,1658;0,1665;0,1671;0,1676;0,1681;0,1685;0,1688;0,1689;0,1689;0,1688;0,1685;0,1681;0,1676;0,1668;0,1659;0,1648;0,1637;0,1626;0,1615;0,1605;0,1597;0,1591;0,1586;0,1584;0,1583;0,1586;0,1591;0,1601;0,1612;0,1623;0,1633;0,1643;0,1652;0,1662;0,1669;0,1672;0,1666;0,1653;0,1632;0,1605;0,1579;0,1555;0,1534;0,1517;0,1497;0,1482;0,1471;0,1460;0,1451;0,1443;0,1436;0,1429;0,1423;0,1418;0,1413;0,1408;0,1404;0,1399;0,1395;0,1391;0,1387;0,1383;0,1379;0,1375;0,1371;0,1368;0,1366;0,1364;0,1361;0,1358;
6;Sample;RBP1-GFP #4;2024.03.01 18:21;;0,1697;0,1695;0,1697;0,1700;0,1705;0,1712;0,1720;0,1727;0,1734;0,1740;0,1745;0,1748;0,1750;0,1751;0,1753;0,1758;0,1765;0,1772;0,1780;0,1786;0,1789;0,1788;0,1780;0,1767;0,1749;0,1729;0,1709;0,1691;0,1676;0,1664;0,1655;0,1647;0,1640;0,1633;0,1627;0,1629;0,1621;0,1615;0,1610;0,1606;0,1603;0,1601;0,1598;0,1596;0,1594;0,1592;0,1589;0,1586;0,1582;0,1576;0,1571;0,1565;0,1558;0,1552;0,1544;0,1535;0,1527;0,1520;0,1513;0,1507;0,1500;0,1492;0,1485;0,1477;0,1468;0,1459;0,1451;0,1442;0,1434;0,1427;0,1420;0,1414;0,1408;0,1404;0,1399;0,1396;0,1392;0,1390;0,1388;0,1386;0,1385;0,1383;0,1383;0,1383;0,1384;0,1385;0,1387;0,1388;0,1390;0,1392;0,1393;0,1394;0,1396;0,1397;0,1399;0,1401;0,1403;0,1405;0,1408;0,1410;0,1413;0,1416;0,1420;0,1425;0,1430;0,1436;0,1443;0,1450;0,1457;0,1464;0,1470;0,1474;0,1476;0,1477;0,1477;0,1475;0,1472;0,1468;0,1462;0,1454;0,1445;0,1437;0,1428;0,1419;0,1411;0,1404;0,1398;0,1393;0,1390;0,1390;0,1391;0,1397;0,1406;0,1418;0,1431;0,1445;0,1458;0,1470;0,1480;0,1491;0,1500;0,1502;0,1496;0,1482;0,1459;0,1432;0,1405;0,1379;0,1356;0,1338;0,1322;0,1306;0,1294;0,1283;0,1273;0,1264;0,1256;0,1249;0,1243;0,1237;0,1231;0,1226;0,1222;0,1218;0,1214;0,1210;0,1206;0,1202;0,1198;0,1195;0,1192;0,1188;0,1185;0,1182;0,1179;0,1177;
7;Sample;RBP1-GFP #11;2024.03.01 18:22;;0,2428;0,2427;0,2430;0,2435;0,2444;0,2456;0,2468;0,2480;0,2490;0,2499;0,2505;0,2508;0,2510;0,2513;0,2517;0,2525;0,2536;0,2549;0,2562;0,2573;0,2579;0,2578;0,2566;0,2546;0,2517;0,2485;0,2452;0,2422;0,2398;0,2378;0,2362;0,2350;0,2338;0,2329;0,2319;0,2313;0,2301;0,2293;0,2284;0,2278;0,2272;0,2267;0,2262;0,2259;0,2255;0,2252;0,2248;0,2242;0,2236;0,2228;0,2219;0,2209;0,2199;0,2188;0,2177;0,2165;0,2153;0,2141;0,2129;0,2118;0,2106;0,2095;0,2085;0,2074;0,2063;0,2051;0,2040;0,2029;0,2018;0,2007;0,1998;0,1989;0,1981;0,1974;0,1968;0,1962;0,1958;0,1955;0,1953;0,1951;0,1950;0,1950;0,1950;0,1951;0,1953;0,1955;0,1957;0,1959;0,1961;0,1963;0,1965;0,1968;0,1971;0,1974;0,1977;0,1981;0,1985;0,1989;0,1993;0,1998;0,2003;0,2008;0,2015;0,2023;0,2031;0,2042;0,2053;0,2064;0,2074;0,2084;0,2093;0,2100;0,2104;0,2107;0,2106;0,2104;0,2098;0,2091;0,2081;0,2068;0,2054;0,2039;0,2024;0,2010;0,1996;0,1984;0,1975;0,1967;0,1962;0,1961;0,1963;0,1971;0,1983;0,2001;0,2022;0,2044;0,2065;0,2084;0,2103;0,2122;0,2137;0,2142;0,2135;0,2114;0,2080;0,2039;0,1995;0,1956;0,1921;0,1893;0,1871;0,1848;0,1829;0,1813;0,1799;0,1786;0,1775;0,1763;0,1753;0,1744;0,1735;0,1728;0,1721;0,1715;0,1708;0,1703;0,1697;0,1692;0,1687;0,1682;0,1677;0,1673;0,1669;0,1665;0,1661;0,1656;
8;Sample;RBP1-GFP #12;2024.03.01 18:22;;0,2438;0,2437;0,2438;0,2443;0,2449;0,2455;0,2463;0,2468;0,2473;0,2476;0,2477;0,2478;0,2478;0,2478;0,2481;0,2485;0,2491;0,2498;0,2505;0,2511;0,2512;0,2509;0,2498;0,2482;0,2461;0,2437;0,2414;0,2393;0,2377;0,2366;0,2357;0,2351;0,2346;0,2340;0,2334;0,2324;0,2316;0,2311;0,2306;0,2301;0,2297;0,2295;0,2293;0,2292;0,2291;0,2291;0,2290;0,2288;0,2285;0,2281;0,2277;0,2273;0,2267;0,2259;0,2247;0,2235;0,2224;0,2215;0,2207;0,2199;0,2190;0,2181;0,2171;0,2162;0,2153;0,2145;0,2138;0,2132;0,2126;0,2121;0,2118;0,2113;0,2109;0,2106;0,2103;0,2101;0,2100;0,2101;0,2101;0,2103;0,2105;0,2108;0,2111;0,2115;0,2120;0,2124;0,2128;0,2132;0,2136;0,2140;0,2144;0,2147;0,2150;0,2154;0,2158;0,2162;0,2166;0,2170;0,2175;0,2179;0,2184;0,2189;0,2196;0,2204;0,2213;0,2223;0,2234;0,2246;0,2256;0,2266;0,2274;0,2281;0,2286;0,2290;0,2292;0,2292;0,2289;0,2284;0,2276;0,2266;0,2255;0,2244;0,2233;0,2222;0,2212;0,2204;0,2197;0,2193;0,2191;0,2191;0,2195;0,2203;0,2215;0,2230;0,2246;0,2262;0,2276;0,2288;0,2298;0,2308;0,2315;0,2315;0,2305;0,2284;0,2254;0,2218;0,2183;0,2150;0,2123;0,2100;0,2094;0,2077;0,2063;0,2050;0,2040;0,2030;0,2022;0,2014;0,2007;0,2000;0,1994;0,1989;0,1984;0,1979;0,1974;0,1970;0,1966;0,1963;0,1959;0,1957;0,1954;0,1951;0,1948;0,1946;0,1944;0,1942;
