time (h)	WT	DualTag	delta-rbp1 #2	delta-rbp1 #4	delta-rbp1 #6	RBP1-GFP #4	RBP1-GFP #11	RBP1-GFP #12
0	1.33	0.79	0.92	0.68	0.63	0.83	1.03	0.57
6	1.30	0.60	0.90	0.46	0.61	0.97	1.13	0.54
21	2.29	1.14	1.04	0.53	0.75	1.08	1.13	0.67
30	2.71	1.18	0.55	0.38	1.36	1.74	1.41	0.54
85	5.33	1.79	0.67	0.70	1.46	0.64	0.93	0.50
92	6.11	2.28	0.96	0.48	0.99	0.43	0.64	0.56
